"Location ID","Location Name","Location Name (Spanish)",Address,"Address Line 2",City,State,Zip
437,"Boys & Girls Clubs of the East Valley - Compadre Branch, Chandler",,"300 E Chandler Blvd",,Chandler,AZ,85225
304,"Boys & Girls Clubs of the East Valley - Gilbert Branch",,"44 N. Oak St.",,Gilbert,AZ,85233
870,"Boys & Girls Clubs of the East Valley Gilbert Branch",,"44 North Oak Street",,Gilbert,AZ,85233
872,"Boys & Girls Clubs of the East Valley Grants Woods Mesa Branch",,"221 West Sixth Ave",,Mesa,AZ,85210
871,"Boys & Girls Clubs of the East Valley Guadalupe Thunderbirds Branch",,"9225 South Avenida Del Yaqui",,Guadalupe,AZ,85383
868,"Boys & Girls Clubs of the East Valley Komatke Branch",,"5047 West Pecos Rd",,Laveen,AZ,85339
873,"Boys & Girls Clubs of the East Valley Ladmo Tempe Branch",,"715 West Fifth St",,Tempe,AZ,85281
869,"Boys & Girls Clubs of the East Valley Sacaton Branch",,"Seedfarm Road & Cholla Ave",,Sacaton,AZ,85247
876,"Boys & Girls Clubs of the East Valley Stevenson Branch",,"638 South 96th St",,Mesa,AZ,85208
652,"Boys & Girls Clubs of Tucson Frank & Edith Morton Clubhouse",,"3155 E. Grant Rd",,Tucson,AZ,85716
917,"Boys & Girls Clubs - Prescott Branch",,"335 E Aubrey St",,Prescott,AZ,86303
918,"Boys & Girls Clubs - Prescott Valley Branch",,"8201 E Loos Dr",,"Prescott Valley",AZ,86314
572,"Boys Hope Girls Hope Learning Center",,"3443 N. Central Avenue","Suite 713",Phoenix,AZ,85012
976,"Boys to Men Office",,"3208 Lakeside Village Drive",,Prescott,AZ,86301
173,"Brichta Elementary School",,"2110 W. Brichta",,Tucson,AZ,85745
442,"Bright star Learning Center",,"1750 E. Prince",,Tucson,AZ,85719
117,Brinton,,"11455 E Sunland Ave",,Mesa,AZ,85208
300,"Broadmor School",,"311 E. Aepli",,Tempe,AZ,85282
697,"Brunson Lee Elementary School",,"4825 E Roosevelt",,Phoenix,AZ,85008
366,"Buckeye Middle School and Buckeye Primary",,"25555 W. Durango",,Buckeye,AZ,85326
624,"Burk Elementary School",,"545 North Burk Street",,Gilbert,AZ,85234-3478
508,Bush,,"4925 E Ingram St",,Mesa,AZ,85205
127,"Bustoz School",,"2020 E. Carson Dr.",,Tempe,AZ,85282
210,"BusyBee Day Care",,"17548 S. Garden Sage Loop",,Vail,AZ,85641
